environment | t (second),environment | Nai (mM),environment | v_cyc_nak (per_second)
45.5,45.5,48.8349
45.6,45.6,48.9075
45.7,45.7,48.9799
45.8,45.8,49.0521
45.9,45.9,49.1242
46,46,49.1961
46.1,46.1,49.2678
46.2,46.2,49.3394
46.3,46.3,49.4108
46.4,46.4,49.4821
46.5,46.5,49.5532
46.6,46.6,49.6241
46.7,46.7,49.6949
46.8,46.8,49.7655
46.9,46.9,49.836
47,47,49.9063
47.1,47.1,49.9764
47.2,47.2,50.0464
47.3,47.3,50.1163
47.4,47.4,50.186
47.5,47.5,50.2555
47.6,47.6,50.3249
47.7,47.7,50.3941
47.8,47.8,50.4631
47.9,47.9,50.532
48,48,50.6008
48.1,48.1,50.6694
48.2,48.2,50.7379
48.3,48.3,50.8062
48.4,48.4,50.8743
48.5,48.5,50.9423
48.6,48.6,51.0102
48.7,48.7,51.0779
48.8,48.8,51.1454
48.9,48.9,51.2128
49,49,51.2801
49.1,49.1,51.3472
49.2,49.2,51.4141
49.3,49.3,51.4809
49.4,49.4,51.5476
49.5,49.5,51.6141
49.6,49.6,51.6805
49.7,49.7,51.7467
49.8,49.8,51.8128
49.9,49.9,51.8788
50,50,51.9445
50.1,50.1,52.0102
50.2,50.2,52.0757
50.3,50.3,52.1411
50.4,50.4,52.2063
50.5,50.5,52.2714
50.6,50.6,52.3363
50.7,50.7,52.4011
50.8,50.8,52.4658
50.9,50.9,52.5303
51,51,52.5947
51.1,51.1,52.6589
51.2,51.2,52.7231
51.3,51.3,52.787
51.4,51.4,52.8508
51.5,51.5,52.9145
51.6,51.6,52.9781
51.7,51.7,53.0415
51.8,51.8,53.1048
51.9,51.9,53.1679
52,52,53.231
52.1,52.1,53.2938
52.2,52.2,53.3566
52.3,52.3,53.4192
52.4,52.4,53.4817
52.5,52.5,53.544
52.6,52.6,53.6062
52.7,52.7,53.6683
52.8,52.8,53.7302
52.9,52.9,53.792
53,53,53.8537
53.1,53.1,53.9153
53.2,53.2,53.9767
53.3,53.3,54.038
53.4,53.4,54.0991
53.5,53.5,54.1601
53.6,53.6,54.221
53.7,53.7,54.2818
53.8,53.8,54.3425
53.9,53.9,54.403
54,54,54.4634
54.1,54.1,54.5236
54.2,54.2,54.5838
54.3,54.3,54.6438
54.4,54.4,54.7037
54.5,54.5,54.7634
54.6,54.6,54.823
54.7,54.7,54.8825
54.8,54.8,54.9419
54.9,54.9,55.0012
55,55,55.0603
55.1,55.1,55.1193
55.2,55.2,55.1782
55.3,55.3,55.237
55.4,55.4,55.2956
55.5,55.5,55.3541
55.6,55.6,55.4125
55.7,55.7,55.4708
55.8,55.8,55.529
55.9,55.9,55.587
56,56,55.6449
56.1,56.1,55.7027
56.2,56.2,55.7604
56.3,56.3,55.818
56.4,56.4,55.8754
56.5,56.5,55.9327
56.6,56.6,55.9899
56.7,56.7,56.047
56.8,56.8,56.104
56.9,56.9,56.1608
57,57,56.2176
57.1,57.1,56.2742
57.2,57.2,56.3307
57.3,57.3,56.3871
57.4,57.4,56.4434
57.5,57.5,56.4995
57.6,57.6,56.5556
57.7,57.7,56.6115
57.8,57.8,56.6673
57.9,57.9,56.723
58,58,56.7786
58.1,58.1,56.8341
58.2,58.2,56.8894
58.3,58.3,56.9447
58.4,58.4,56.9998
58.5,58.5,57.0548
58.6,58.6,57.1098
58.7,58.7,57.1646
58.8,58.8,57.2192
58.9,58.9,57.2738
59,59,57.3283
59.1,59.1,57.3827
59.2,59.2,57.4369
59.3,59.3,57.4911
59.4,59.4,57.5451
59.5,59.5,57.599
59.6,59.6,57.6528
59.7,59.7,57.7066
59.8,59.8,57.7602
59.9,59.9,57.8137
60,60,57.867
60.1,60.1,57.9203
60.2,60.2,57.9735
